#,Domain,Portal Admin Email,PWD,STATUS,Email Licence,Users1,Storage,Users2,MS OFFICE,Users3,Creation Date,Renewal Date
,elloragroupwll.com,admin@elloragroup.onmicrosoft.com,,ACTIVE,Basic,32,Ex Archive Online,3,Apps for Business,1,03-Jan-21,09-January-2023
,boltec-metal.com,admin@elloragroup.onmicrosoft.com,,ACTIVE,Basic,5,,0,,,,10-January-2023
,worldairholidays.com,admin@worldairholidays.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,26-Feb-21,24-February-2023
,rndesigners.com,admin@rndesigners.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,05-Mar-20,22-March-2023
,intpurple.com,admin@intpurple.onmicrosoft.com,,ACTIVE,Basic,24,,0,,,12-Apr-20,30-June-2025
,ansar.in,admin@ansartrust.onmicrosoft.com,,ACTIVE,Basic,16,,0,,,30-Jun-20,08-July-2023
,welcomeglass.com,admin@welcomeglass.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,14-Jul-20,06-July-2023
,spunic.com,admin@spunic.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,04-Sep-20,10-September-2023
,pacio.design,admin@paciogroup.onmicrosoft.com,,ACTIVE,Basic,13,,0,,,24-Sep-20,28-September-2022
,al-mirqab.com,admin@almirqabest.onmicrosoft.com,,ACTIVE,Basic,4,,0,,,23-Aug-23,25-August-2023
,alyafeiauditors.qa,admin@alyafeiauditors.onmicrosoft.com,,CANCELLED,,0,,0,Standard,1,24-Nov-20,15-November-2022
,nawararesorts.com,admin@nawararesorts.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,04-Dec-20,04-December-2022
,marineworld.in,admin@cisomarineworld.onmicrosoft.com,,ACTIVE,Basic,14,,0,,,28-Jan-21,20-January-2023
,shaastec.com,admin@shaastecinternational.onmicrosoft.com,,ACTIVE,Basic,16,,1,Apps for Business,1,16-Feb-21,18-February-2023
,maritime-log.com,admin@maritimelog.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,20-Mar-21,21-March-2023
,albananuae.com,admin@albananuae.onmicrosoft.com,,ACTIVE,Basic,6,Ex Archive Online,1,,,05-Apr-21,16-April-2023
,mediq-qa.com,admin@mediqscientific.onmicrosoft.com,,ACTIVE,Basic,4,,0,,,27-Apr-21,27-April-2023
,kap.co.in,admin@kapindia.onmicrosoft.com,,ACTIVE,Basic,9,,0,,,05-Jun-21,03-May-2023
,kalif.co,admin@tamarinternational.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,28-May-21,15-May-2023
,garudacarriers.co.nz,admin@garudacarriers.onmicrosoft.com,,ACTIVE,Basic,4,,1,Standard,1,08-Jun-21,08-June-2023
,astralinkfreight.com,admin@astralinkfreight.onmicrosoft.com,,ACTIVE,Basic,8,Ex Archive Online,1,,,25-Jun-21,24-June-2023
,campusalive.in,admin@campusalive.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,29-Jul-21,20-July-2023
,nimswandoor.com,admin@nimswandoor.onmicrosoft.com,,ACTIVE,Basic,5,,0,,,03-Aug-21,12-August-2023
,nimswandoor.in,admin@nimswandoor.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,16-Mar-24,12-August-2023
