Created Time,Last Modified Time,Company Name,Salutation,First Name,Last Name,Phone,Currency Code,Status,Bank Account Payment,Portal Enabled,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,GST Treatment,GST Identification Number (GSTIN),EmailID,Country Code,MobilePhone,Place Of Contact,Place of Contact(With State Code)
2021-01-18 18:34:23,2025-11-11 18:52:02,SITICS LOGISTIC SOLUTIONS (P) LTD,,,,+91 4912530681,INR,Active,false,false,18/802 English Church Road,,Palakkad,Kerala,India,678014,business_registered_composition,32AALCS5294A1ZG,it@sitics.co,+91,9072613300,KL,32-Kerala
2021-01-21 16:34:45,2025-10-31 17:04:50,STORILABS SYSTEM TECHNOLOGIES LLP,,,,,INR,Active,false,false,"Technology Business Incubator (TBI)
114, NIT Calicut
Chathamangalam P O",,Kozhikode,Kerala,India,673601,business_gst,32ACUFS4531J1ZS,finance@storilabs.com,+91,9567996638,KL,32-Kerala
2021-01-25 12:25:40,2023-09-30 23:45:44,IGIENIC Private Limited,Mr.,Sirajul Haque,,,INR,Active,false,false,Porunnumpramba,,Malappuram,Kerala,India,676507,business_gst,32AAFCI7452Q1Z3,siraj.ulhaq@igienic.com,,8590690945,KL,32-Kerala
2021-02-08 13:11:51,2024-02-06 12:08:28,FIRST STEP EDUCATION,,,,,INR,Active,false,false,"2nd Floor, Nandanam Building
Changampuza Park, Edappally
Near State Bank Of India
Metro Pillar No: 456",,Cochin,Kerala,India,682024,business_gst,32BUGPA3787B1Z2,info@firststep-edu.com,,,KL,32-Kerala
2021-02-18 17:53:36,2024-02-24 10:44:11,signrOots Cloud Solutions,,,,09447232332,INR,Active,false,false,NIT Calicut,,Kozhikode,Kerala,India,673601,business_none,,accounts@signroots.com,,,KL,32-Kerala
2021-03-01 22:17:29,2021-03-01 22:32:34,Green Worms Eco Solutions LLP,,,,,INR,Active,false,false,"140 B, The Crest Building,
Varakkal Arcade Road junction,
West Hill",,Kozhikode,Kerala,India,673005,business_gst,32AAOFG8683M1ZN,accounts@greenworms.org,,,KL,32-Kerala
2021-03-27 17:49:57,2023-11-15 18:54:11,Kleanfab GV Tex P Ltd,,,,+91 99436 33301,INR,Active,false,false,"Door No : 18-B Ashok Layout,
Civil Aerodrome Post",,Coimbatore,Tamil Nadu,India,641014,business_gst,33AAHCK5620L1ZH,venkatesan@kleanfabgvtex.com,+91, 88389 29602,TN,33-Tamil Nadu
2021-04-03 14:09:46,2021-06-21 01:06:31,Shalfin Group,,,,,INR,Active,false,false,"Building 66, Zone 91, Street 3086
Birkat Al Awamer, Logistic Area
Bu Sulba",,Wukair,Wukair,Qatar,,business_none,,niyaz@shalfin.com,,,KL,32-Kerala
2021-06-21 00:59:22,2025-08-26 18:19:08,CERTIFIED PROFESSIONAL ADVISORY SERVICES PRIVATE LIMITED,,,,,INR,Active,false,false,"J.B house, 2nd floor, 19, 
R.D street, Fort,",,Mumbai,Maharashtra,India,400001,business_gst,27AAGCC1668M2Z8,cochin@cpasconsultancy.com,+91,8907617002,MH,27-Maharashtra
2021-07-30 17:50:14,2021-11-13 20:19:26,Singapore Infotech (India) Pvt. Ltd,Mr.,Suraj,,,INR,Active,false,false,"3A, 3rd floor, No. 4 Raghavendra Layout,
Tumkur Road, Yeshwantpur",,Bangalore,Karnataka,India,560022,business_gst,29AAQCS7234M1ZH,suraj@singaporeinfotech.com,,,KA,29-Karnataka
